baseline,num_repaired,num_sample_evaluable,repaired_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_recovery,mean_vina_like_proxy,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.3867011703296784,2.0783642857142897,0.75,0.8936925189491141,0.9665243194033292,1.9166365596775203,0.05843205643986241,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,84,84,1.0,1.0,1.0,1.0,1.0,0.0,0.378909725798289,1.7658583333333358,1.0,1.0,1.0,0.36313889943491623,0.011487333836579084,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,84,84,0.5476190476190477,1.0,1.0,0.7619047619047619,0.6190476190476191,0.9880952380952381,0.36832268831860143,1.823594047619049,0.6190476190476191,0.8006817167173926,0.9309750942621394,2.8024293305478167,0.09405432709189153,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,84,84,0.7857142857142857,1.0,1.0,0.8214285714285714,0.9523809523809523,0.05952380952380952,0.36832268831860143,1.823594047619049,0.9523809523809523,0.8765022549116848,0.9362452871144601,0.7127784740513339,0.02499898476154495,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_kernel_geometry_policy,84,84,0.7023809523809523,1.0,1.0,0.8571428571428571,0.7738095238095238,0.4523809523809524,0.36832268831860143,1.823594047619049,0.7738095238095238,0.8761576518806488,0.9501025020591458,1.5701527547669476,0.0491736730425142,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_knn_geometry_policy,84,84,0.6904761904761905,1.0,1.0,0.8214285714285714,0.8214285714285714,0.23809523809523808,0.36832268831860143,1.823594047619049,0.8214285714285714,0.8466957728140814,0.931301819039875,1.1350863105144033,0.0428657548778628,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_geometry_policy,84,84,0.75,1.0,1.0,0.8690476190476191,0.8571428571428571,0.25,0.36832268831860143,1.823594047619049,0.8571428571428571,0.8887944111342556,0.952272282834548,1.0920255360138806,0.03557086739864812,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_linear_refinement,84,84,0.8809523809523809,1.0,1.0,1.0,0.8809523809523809,0.14285714285714285,0.36832268831860143,1.823594047619049,0.8809523809523809,0.9398245013962342,0.9740099719404691,0.7892628309952114,0.027494095396495943,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_rule_repair,84,84,1.0,1.0,1.0,1.0,1.0,0.0,0.36832268831860143,1.823594047619049,1.0,0.9867796941924636,0.9916872346139857,0.38788087329786436,0.012882605674571017,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
identity_failed_candidate,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_feedback_repair,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
rerank_only,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
