baseline,num_repaired,num_sample_evaluable,repaired_success_rate,repair_gain_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_fingerprint_similarity_gain,mean_contact_recovery,mean_contact_recovery_gain,mean_vina_like_proxy,mean_vina_like_gain,mean_anchor_error_reduction,mean_clash_count_reduction,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,5,5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.40941054807292765,0.6595200000000038,1.0,0.8469293924466339,0.0,0.853088812736489,0.0,0.47028742974342963,0.050864000000000284,0.0,0.0,0.01504381198008757,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,1.0,0.15307060755336616,1.0,0.1469111872635111,0.5952911655989113,-0.07413973585548135,0.0,0.0,0.019838165243611254,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,5,5,1.0,0.8,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.8717513883965496,0.024821995949915854,0.9109398871992574,0.057851074462768645,0.4627242138906289,0.058427215852801064,-0.5,0.0,0.014761347753262155,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_contact_policy,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.9366666666666668,0.08973727422003283,0.9570164917541228,0.10392767901763404,0.5791151042746258,-0.057963674531195865,0.0,0.0,0.019495489699794498,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_full_policy,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.9366666666666668,0.08973727422003283,0.9570164917541228,0.10392767901763404,0.5791151042746258,-0.057963674531195865,0.0,0.0,0.019495489699794498,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_geometry_only_policy,5,5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.8469293924466339,0.0,0.853088812736489,0.0,0.52115142974343,0.0,0.0,0.0,0.016571217152501372,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_global_only_policy,5,5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.8469293924466339,0.0,0.853088812736489,0.0,0.52115142974343,0.0,0.0,0.0,0.016571217152501372,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_interaction_only_policy,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.9366666666666668,0.08973727422003283,0.9570164917541228,0.10392767901763404,0.5791151042746258,-0.057963674531195865,0.0,0.0,0.019495489699794498,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,5,5,0.8,0.2,1.0,1.0,0.8,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.8136628049611557,-0.03326658748547804,0.8641632755051045,0.0110744627686157,0.7872645795352469,-0.266113149791817,-0.7000000000000002,0.0,0.027049819165139065,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_kernel_geometry_policy,5,5,1.0,0.2,1.0,1.0,1.0,1.0,0.0,0.4158218882363395,0.4052000000000019,1.0,0.8126309523809525,-0.03429844006568146,0.8565545798529307,0.003465767116441798,0.520350937581947,0.0008004921614830351,-0.2982956303276953,0.0,0.01663223466681154,3.746,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
