baseline,num_seeds,total_repaired,mean_repaired_success_rate,mean_repair_gain_success_rate,mean_contact_recovery_gain,mean_contact_similarity_gain,mean_anchor_error_reduction,mean_clash_count_reduction,source
best_of_n,1,19,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
coordinate_rollback,1,19,1.0,0.8947368421052632,0.11194548402490483,0.12828877236425007,0.0,0.0,contact_degraded_local_edit_multiseed_summary
direct_regeneration,1,19,0.7368421052631579,0.0,-0.030335020459694956,-0.08191826389154777,-0.5000000000000003,-0.3157894736842105,contact_degraded_local_edit_multiseed_summary
feedback_budgeted_learned_editable_contact_policy,1,19,1.0,0.3684210526315789,0.0398664154764723,0.028984176742797425,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_contact_policy,1,19,1.0,0.5789473684210527,0.06079429740017211,0.05270891362649661,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_full_policy,1,19,1.0,0.5789473684210527,0.06079429740017211,0.05270891362649661,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_geometry_only_policy,1,19,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_global_only_policy,1,19,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
feedback_editable_interaction_only_policy,1,19,0.631578947368421,0.5263157894736842,0.050990693562992954,-0.01569170111519965,0.0,-0.8421052631578947,contact_degraded_local_edit_multiseed_summary
feedback_geometry_refinement,1,19,0.8421052631578947,0.05263157894736842,-0.014722150203093934,-0.0696823353164946,-0.7368421052631581,0.0,contact_degraded_local_edit_multiseed_summary
feedback_kernel_geometry_policy,1,19,0.8947368421052632,0.10526315789473684,-0.013182741336098869,-0.0559674320780808,-0.15735640356765473,-0.10526315789473684,contact_degraded_local_edit_multiseed_summary
feedback_knn_geometry_policy,1,19,0.9473684210526315,0.05263157894736842,-0.02435424674880605,-0.06428042314612188,-0.30500447220393356,-0.05263157894736842,contact_degraded_local_edit_multiseed_summary
feedback_learned_editable_contact_policy,1,19,0.9473684210526315,0.2631578947368421,0.015383567614688906,0.002255351021231247,0.0,-0.05263157894736842,contact_degraded_local_edit_multiseed_summary
feedback_learned_geometry_policy,1,19,0.7894736842105263,0.10526315789473684,-0.010237879180710402,-0.07124244493660353,-0.22560454991675175,-0.3157894736842105,contact_degraded_local_edit_multiseed_summary
feedback_linear_refinement,1,19,0.8947368421052632,0.05263157894736842,-0.010996240601503756,-0.04294931988240744,-0.3048225918983349,-0.15789473684210525,contact_degraded_local_edit_multiseed_summary
feedback_residual_ensemble_policy,1,19,0.9473684210526315,0.21052631578947367,-0.011528587210154314,-0.07288516695197925,-0.3065308248474397,-0.15789473684210525,contact_degraded_local_edit_multiseed_summary
feedback_ridge_editable_contact_policy,1,19,0.7894736842105263,0.10526315789473684,0.01282894736842106,-0.0222647046296701,0.0,-0.3157894736842105,contact_degraded_local_edit_multiseed_summary
feedback_rule_repair,1,19,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
identity_failed_candidate,1,19,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
no_failed_candidate_policy,1,19,1.0,0.8947368421052632,0.11194548402490483,0.12828877236425007,0.0,0.0,contact_degraded_local_edit_multiseed_summary
no_feedback_repair,1,19,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
rerank_only,1,19,1.0,0.0,0.0,0.0,0.0,0.0,contact_degraded_local_edit_multiseed_summary
