baseline,num_records,unique_candidates,expected_candidates,coverage_rate,missing_candidate_count,duplicate_candidate_records,records_per_candidate_min,records_per_candidate_max,records_per_candidate_mean,record_level_same_budget_pass,internal_candidate_budget_min,internal_candidate_budget_max,internal_candidate_budget_mean,internal_budget_types,internal_budget_available_rate,repaired_success_rate,repair_gain_success_rate,mean_contact_recovery_gain,mean_contact_similarity_gain,mean_anchor_error_reduction,mean_clash_count_reduction,missing_candidate_examples,source
best_of_n,53,53,53,1.0,0,0,1,1,1.0,True,16,17,16.11320754716981,['candidate_pool_selection'],1.0,1.0,0.0,-0.002563576702214927,-0.002735849056603778,-0.0720448418567429,0.0,[],record_and_internal_budget_audit
coordinate_rollback,53,53,53,1.0,0,0,1,1,1.0,True,1,1,1.0,['reference_or_rule_copy'],1.0,1.0,0.9622641509433962,0.11769878201061197,0.1335684281401683,0.0,0.0,[],record_and_internal_budget_audit
direct_regeneration,53,53,53,1.0,0,0,1,1,1.0,True,16,17,16.11320754716981,['candidate_pool_index_selection'],1.0,0.7924528301886793,0.05660377358490566,-0.024540021094574,-0.08754038025142781,-0.568264234548381,-0.32075471698113206,[],record_and_internal_budget_audit
feedback_budgeted_learned_editable_contact_policy,53,53,53,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.32075471698113206,0.033239040856930024,0.02749824627879495,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_contact_policy,53,53,53,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.6037735849056604,0.06259748326645304,0.051951994259583544,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_full_policy,53,53,53,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.6037735849056604,0.06259748326645304,0.051951994259583544,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_geometry_only_policy,53,53,53,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_global_only_policy,53,53,53,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,[],record_and_internal_budget_audit
feedback_editable_interaction_only_policy,53,53,53,1.0,0,0,1,1,1.0,True,10,10,10.0,['editable_offset_selection'],1.0,0.6981132075471698,0.5660377358490566,0.04881541708929902,-0.019541874961223955,0.0,-0.9056603773584906,[],record_and_internal_budget_audit
feedback_geometry_refinement,53,53,53,1.0,0,0,1,1,1.0,True,16,17,16.11320754716981,['candidate_pool_selection'],1.0,0.7735849056603774,0.07547169811320754,-0.02668232090154383,-0.08114356848842973,-0.7497751673797632,0.0,[],record_and_internal_budget_audit
feedback_kernel_geometry_policy,53,53,53,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.8490566037735849,0.05660377358490566,-0.00482444929826192,-0.045573665774599946,-0.36718612376278936,-0.18867924528301888,[],record_and_internal_budget_audit
feedback_knn_geometry_policy,53,53,53,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.6226415094339622,0.03773584905660377,-0.009726622537787699,-0.0797006627397201,-0.8126230499850637,-0.09433962264150944,[],record_and_internal_budget_audit
feedback_learned_editable_contact_policy,53,53,53,1.0,0,0,1,1,1.0,True,1,1,1.0,['single_policy_output'],1.0,0.9245283018867925,0.2641509433962264,0.015603392710652768,0.002878192071227714,0.0,-0.09433962264150944,[],record_and_internal_budget_audit
